formName,varName,varDescription,answerCode,answerDescription,answerType
FULLSURVEY,path_respother,Other Respiratory Infection (e.g. fungal),4, Results pending ,radio
FULLSURVEY,path_respother,Other Respiratory Infection (e.g. fungal),5, Not done ,radio
FULLSURVEY,path_respother,Other Respiratory Infection (e.g. fungal),98, Unsure  ,radio
FULLSURVEY,path_bacteria,Pathogenic bacteria,1, CONFIRMED Positive ,radio
FULLSURVEY,path_bacteria,Pathogenic bacteria,2, PROBABLE Positive ,radio
FULLSURVEY,path_bacteria,Pathogenic bacteria,3, Negative ,radio
FULLSURVEY,path_bacteria,Pathogenic bacteria,4, Results pending ,radio
FULLSURVEY,path_bacteria,Pathogenic bacteria,5, Not done ,radio
FULLSURVEY,path_bacteria,Pathogenic bacteria,98, Unsure  ,radio
FULLSURVEY,MAS_EVAL,"Did the patient develop any features concerning for Cytokine Storm Syndrome, including MAS?",1, Yes ,radio
FULLSURVEY,MAS_EVAL,"Did the patient develop any features concerning for Cytokine Storm Syndrome, including MAS?",0, No ,radio
FULLSURVEY,MAS_EVAL,"Did the patient develop any features concerning for Cytokine Storm Syndrome, including MAS?",99, Unsure  ,radio
FULLSURVEY,CRP_UN,,1, mg/dL ,radio
FULLSURVEY,CRP_UN,,2, mg/L  ,radio
FULLSURVEY,WBC,,,[],text
FULLSURVEY,WBC,,,[WBC],text
FULLSURVEY,HEMA,,,[],text
FULLSURVEY,HEMA,,,[HEMA],text
FULLSURVEY,PLATELET,,,[],text
FULLSURVEY,PLATELET,,,[PLATELET],text
FULLSURVEY,ESR,,,[],text
FULLSURVEY,ESR,,,[ESR],text
FULLSURVEY,ESRLULN,,,[],text
FULLSURVEY,ESRLULN,,,[ESRLULN],text
FULLSURVEY,CRP,,,[],text
FULLSURVEY,CRP,,,[CRP],text
FULLSURVEY,AST,,,[],text
FULLSURVEY,AST,,,[AST],text
FULLSURVEY,ALT,,,[],text
FULLSURVEY,ALT,,,[ALT],text
FULLSURVEY,TRIGLY,,,[],text
FULLSURVEY,TRIGLY,,,[TRIGLY],text
FULLSURVEY,FERRITIN,,,[],text
FULLSURVEY,FERRITIN,,,[FERRITIN],text
FULLSURVEY,FIBRINO,,,[],text
FULLSURVEY,FIBRINO,,,[FIBRINO],text
FULLSURVEY,CRPUL,,,[],text
FULLSURVEY,CRPUL,,,[CRPUL],text
FULLSURVEY,WBC_UN,109/L or 103/mm3,,[109/L or 103/mm3],descriptive
FULLSURVEY,HGB_UN,g/dL,,[g/dL],descriptive
FULLSURVEY,PLT_UN,109/L or 103/mm3,,[109/L or 103/mm3],descriptive
FULLSURVEY,ESR_UN,mm/hour,,[mm/hour],descriptive
FULLSURVEY,SIL2R,,,[],text
FULLSURVEY,SIL2R,,,[SIL2R],text
FULLSURVEY,AST_ULN,,,[],text
FULLSURVEY,AST_ULN,,,[AST_ULN],text
FULLSURVEY,ALT_ULN,,,[],text
FULLSURVEY,ALT_ULN,,,[ALT_ULN],text
FULLSURVEY,FIBRINO_UN,mg/dL,,[mg/dL],descriptive
FULLSURVEY,FERRITIN_UN,ng/mL,,[ng/mL],descriptive
FULLSURVEY,TRIGLY_UN,mg/dL,,[mg/dL],descriptive
FULLSURVEY,ALT_UN,U/L,,[U/L],descriptive
FULLSURVEY,AST_UN,U/L,,[U/L],descriptive
FULLSURVEY,SIL2R_UN,U/mL,,[U/mL],descriptive
FULLSURVEY,DDIMER,,,[],text
FULLSURVEY,DDIMER,,,[DDIMER],text
FULLSURVEY,DDIMER_UN,,1, ng/mL ,radio
FULLSURVEY,DDIMER_UN,,2, mg/L  ,radio
FULLSURVEY,Test,Test,1, White blood cell count (WBC) ,select
FULLSURVEY,Test,Test,2, Absolute neutrophil count (ANC) ,select
FULLSURVEY,Test,Test,3, Absolute lymphocyte count (ALC) ,select
FULLSURVEY,Test,Test,4, Hemoglobin ,select
FULLSURVEY,Test,Test,5, Hematocrit ,select
FULLSURVEY,Test,Test,6, Platelet count ,select
FULLSURVEY,Test,Test,7, C-reactive protein (CRP) ,select
FULLSURVEY,Test,Test,8, Erythrocyte sedimentation rate (ESR) ,select
FULLSURVEY,Test,Test,9, Ferritin ,select
FULLSURVEY,Test,Test,10, Creatinine ,select
FULLSURVEY,Test,Test,11, GFR ,select
FULLSURVEY,Test,Test,12, AST (SGOT) ,select
FULLSURVEY,Test,Test,13, ALT (SGPT) ,select
FULLSURVEY,Test,Test,14, Total bilirubin ,select
FULLSURVEY,Test,Test,15, Direct bilirubin ,select
FULLSURVEY,Test,Test,23, D-dimer ,select
FULLSURVEY,Test,Test,16, PT ,select
FULLSURVEY,Test,Test,17, PTT ,select
FULLSURVEY,Test,Test,18, INR ,select
FULLSURVEY,Test,Test,19, C3 ,select
FULLSURVEY,Test,Test,20, C4 ,select
FULLSURVEY,Test,Test,21, CH50 ,select
FULLSURVEY,Test,Test,22, IgG ,select
FULLSURVEY,Test,Test,98, Other laboratory testing  ,select
FULLSURVEY,OTHTST_SPY,Specify other,,[Specify other],text
FULLSURVEY,OTHRESLT,Result,,[Result],text
FULLSURVEY,OTHTST_UNIT,Unit,,[Unit],text
FULLSURVEY,OTHTST_RANGE,Normal range or value,,[Normal range or value],text
FULLSURVEY,IMAGING_SIG,"Did the patient have any significant imaging findings of COVID-19, including pertinent negatives?",1, Yes ,radio
FULLSURVEY,IMAGING_SIG,"Did the patient have any significant imaging findings of COVID-19, including pertinent negatives?",0, No ,radio
FULLSURVEY,IMAGING_SIG,"Did the patient have any significant imaging findings of COVID-19, including pertinent negatives?",99, Unsure  ,radio
FULLSURVEY,IMG_MODALITY,Imaging study,1, CT scan (conventional) ,select
FULLSURVEY,IMG_MODALITY,Imaging study,2, High-resolution CT scan ,select
FULLSURVEY,IMG_MODALITY,Imaging study,3, CT-PET scan ,select
FULLSURVEY,IMG_MODALITY,Imaging study,4, MRI ,select
FULLSURVEY,IMG_MODALITY,Imaging study,5, Nuclear scan ,select
FULLSURVEY,IMG_MODALITY,Imaging study,6, Plain radiographs (X-rays) ,select
FULLSURVEY,IMG_MODALITY,Imaging study,7, Ultrasound ,select
FULLSURVEY,IMG_MODALITY,Imaging study,98, Other imaging  ,select
FULLSURVEY,ANTMLOC___1,Anatomic location,1, Head ,checkbox
FULLSURVEY,ANTMLOC___ 2,Anatomic location,1, Neck ,checkbox
FULLSURVEY,ANTMLOC___ 3,Anatomic location,1, Chest ,checkbox
FULLSURVEY,ANTMLOC___ 4,Anatomic location,1, Abdomen ,checkbox
FULLSURVEY,ANTMLOC___ 5,Anatomic location,1, Pelvis ,checkbox
FULLSURVEY,ANTMLOC___ 98,Anatomic location,1, Other  ,checkbox
FULLSURVEY,IMG_RSLT,Result,1, Normal / unremarkable ,select
FULLSURVEY,IMG_RSLT,Result,2, Abnormal ,select
FULLSURVEY,IMG_RSLT,Result,3, Results pending ,select
FULLSURVEY,IMG_RSLT,Result,99, Unknown  ,select
FULLSURVEY,IMG_NARR,Interpretation,,[Interpretation],notes
FULLSURVEY,ASM_IMG_DESC,"Based upon the subject's severity level that you have reported, this section can be skipped. Please click 'Next' to proceed.",,Header Section,descriptive
FULLSURVEY,rec_casenotes,Do you have any lessons or other aspects from this case to share? Please DO NOT include any patient names or other direct identifiers.,,[Do you have any lessons or other aspects from this case to share? Please DO NOT include any patient names or other direct identifiers.],notes
FULLSURVEY,rec_followup,May we contact you about these additional notes and comments?,,[May we contact you about these additional notes and comments?],yesno
FULLSURVEY,SURVEY_TIME,Approximately how much time (minutes) did it take you to complete the data collection for this survey?,,[Approximately how much time (minutes) did it take you to complete the data collection for this survey?],text
FULLSURVEY,SUR_TIMESPENT,"Now that you are at the end of our survey, do you think this data collection form is:",1, Too long ,radio
FULLSURVEY,SUR_TIMESPENT,"Now that you are at the end of our survey, do you think this data collection form is:",2, Too short ,radio
FULLSURVEY,SUR_TIMESPENT,"Now that you are at the end of our survey, do you think this data collection form is:",3, Just about right ,radio
FULLSURVEY,SUR_TIMESPENT,"Now that you are at the end of our survey, do you think this data collection form is:",98, Other,radio
FULLSURVEY,TIMESPENT_SPY,"Other, specify:",,"[Other, specify:]",text
